query	afdb	neighborhood_name	prediction	VFID	vf_category	VF_subcategory_high	gff	ANI_organism	genus	VF subcategory_low	pident	alntmscore	lddt	qcov
VFG048687(gb|WP_002902160)	AF-A0A099VMX0-F1-model_v4	WP_011115087.1!!!GCF_949156945.1_single-wildmice_C1233.49_1675168267!!!NZ_CASDAW010000023.1!!!1-16545	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_949156945.1	Helicobacter typhlonius	Helicobacter	 T6SS components	29.5	0.957	0.8729	0.963
VFG048687(gb|WP_002902160)	AF-A0A066RQR0-F1-model_v4	WP_041052768.1!!!GCF_000829735.1_ASM82973v1!!!NZ_BBPJ01000001.1!!!92026-119088	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000829735.1	Vibrio owensii	Vibrio	 T6SS components	25.0	0.9417	0.8666	1.0
VFG048687(gb|WP_002902160)	AF-A0A1L7NBI4-F1-model_v4	WP_049275553.1!!!GCF_000875995.1_ASM87599v1!!!NZ_BBQL01000071.1!!!49435-68095	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_000875995.1	Pseudomonas putida	Pseudomonas	 T6SS components	25.4	0.9501	0.8727	1.0
VFG048687(gb|WP_002902160)	AF-A0A517CVY5-F1-model_v4	WP_009686338.1!!!GCF_028751975.1_ASM2875197v1!!!NZ_CP081491.1!!!3523220-3553109	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_028751975.1	Pseudomonas juntendi	Pseudomonas	 T6SS components	25.0	0.9459	0.8667	1.0
VFG048687(gb|WP_002902160)	AF-A0A3M4C2G8-F1-model_v4	WP_005893187.1!!!GCF_024413215.1_ASM2441321v1!!!NZ_JANAKJ010000001.1!!!729451-758758	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_024413215.1	Pseudomonas tremae	Pseudomonas	 T6SS components	27.9	0.9407	0.8739	1.0
VFG048687(gb|WP_002902160)	AF-A0A7G2JVW0-F1-model_v4	WP_002779662.1!!!GCF_008727435.1_ASM872743v1!!!NZ_CP044169.1!!!854287-883548	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_008727435.1	Campylobacter jejuni	Campylobacter	 T6SS components	25.1	0.9473	0.8682	0.994
VFG048687(gb|WP_002902160)	AF-A0A7Z3H5G9-F1-model_v4	WP_406821786.1!!!GCF_045344305.1_ASM4534430v1!!!NZ_CP174199.1!!!2247374-2276264	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_045344305.1	Pseudomonas anuradhapurensis	Pseudomonas	 T6SS components	22.4	0.9451	0.8563	0.982
VFG048687(gb|WP_002902160)	AF-A0A2K4TQW7-F1-model_v4	WP_080268889.1!!!GCF_003700105.1_ASM370010v1!!!NZ_RBQG01000276.1!!!33103-62648	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_003700105.1	Pseudomonas syringae group genomosp. 3	Pseudomonas	 T6SS components	25.0	0.9418	0.865	1.0
VFG048687(gb|WP_002902160)	AF-A0A0P9QH49-F1-model_v4	WP_080377955.1!!!GCF_001400185.1_PcdICMP12471!!!NZ_LJPZ01000282.1!!!18122-33350	Type VI secretion system (T6SS)	VF0569	Type VI secretion system (T6SS)	Type VI secretion system (T6SS)	GCF_001400185.1	Pseudomonas cannabina	Pseudomonas	 T6SS components	24.7	0.9154	0.8344	0.988
VFG007038(gb|WP_001125271)	AF-A0A271VY11-F1-model_v4	WP_055044662.1!!!GCF_002283895.1_ASM228389v1!!!NZ_NMSI01000003.1!!!1-30354	Exotoxin	VF0516	Exotoxin	Membrane-acting toxin	GCF_002283895.1	Vibrio metoecus	Vibrio	 Beta-PFT	88.1	0.9867	0.9877	1.0
VFG048267(gb|WP_015875145)	AF-A0A486DDB2-F1-model_v4	WP_017899263.1!!!GCF_016598835.1_ASM1659883v1!!!NZ_CP066859.1!!!3235718-3265439	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_016598835.1	Klebsiella quasipneumoniae	Klebsiella	 Adhesive pili of the chaperone-usher family	93.1	0.9553	0.9846	0.967
VFG048267(gb|WP_015875145)	AF-A0A078LM29-F1-model_v4	WP_161799976.1!!!GCF_030333265.1_ASM3033326v1!!!NZ_JAOWGG010000033.1!!!107742-136146	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_030333265.1	Citrobacter koseri	Citrobacter	 Adhesive pili of the chaperone-usher family	87.9	0.9524	0.9932	1.0
VFG048267(gb|WP_015875145)	AF-A0A2X2EG34-F1-model_v4	WP_222826354.1!!!GCF_019856295.1_ASM1985629v1!!!NZ_CP082168.1!!!950894-980491	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_019856295.1	Raoultella planticola	Raoultella	 Adhesive pili of the chaperone-usher family	83.4	0.919	0.99	1.0
VFG048267(gb|WP_015875145)	AF-A0A6B8MZL2-F1-model_v4	WP_004105375.1!!!GCF_030343405.1_ASM3034340v1!!!NZ_JATAUS010000003.1!!!352736-382718	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_030343405.1	Klebsiella oxytoca	Klebsiella	 Adhesive pili of the chaperone-usher family	82.1	0.9404	0.9835	1.0
VFG048267(gb|WP_015875145)	AF-A0A2J4QNR1-F1-model_v4	WP_029946879.1!!!GCF_026224035.1_ASM2622403v1!!!NZ_JAPJJG010000020.1!!!87702-109932	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_026224035.1	Klebsiella michiganensis	Klebsiella	 Adhesive pili of the chaperone-usher family	75.1	0.9222	0.9882	1.0
VFG048267(gb|WP_015875145)	AF-A0A8B4PSV0-F1-model_v4	WP_047723399.1!!!GCF_902162725.1_25964_2_43!!!NZ_CABGWL010000095.1!!!155-2257	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_902162725.1	Klebsiella michiganensis	Klebsiella	 Adhesive pili of the chaperone-usher family	81.9	0.9886	0.9588	0.942
VFG048267(gb|WP_015875145)	AF-A0A6L5E520-F1-model_v4	WP_051642306.1!!!GCF_000731055.1_ASM73105v1!!!NZ_JMQQ01000012.1!!!99862-129344	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_000731055.1	Citrobacter amalonaticus	Citrobacter	 Adhesive pili of the chaperone-usher family	82.6	0.9688	0.9508	0.934
VFG048267(gb|WP_015875145)	AF-A0A7W2X3L6-F1-model_v4	WP_182234774.1!!!GCF_014103785.1_ASM1410378v1!!!NZ_JABXQS010000001.1!!!358564-387365	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_014103785.1	Klebsiella huaxiensis	Klebsiella	 Adhesive pili of the chaperone-usher family	78.0	0.9661	0.9385	1.0
VFG048267(gb|WP_015875145)	AF-A0A7Z7SEP1-F1-model_v4	WP_038432063.1!!!GCF_016071735.1_ASM1607173v1!!!NZ_CP064352.1!!!2975497-3005957	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_016071735.1	Klebsiella pneumoniae	Klebsiella	 Adhesive pili of the chaperone-usher family	70.6	0.9758	0.9502	0.967
VFG048267(gb|WP_015875145)	AF-A0A1I4X2R0-F1-model_v4	WP_308317200.1!!!GCF_038444515.1_ASM3844451v1!!!NZ_JAQSPZ010000010.1!!!63064-90221	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_038444515.1	Serratia nevei	Serratia	 Adhesive pili of the chaperone-usher family	69.4	0.9499	0.9577	0.934
VFG048267(gb|WP_015875145)	AF-A0A0H5LTN5-F1-model_v4	WP_072084714.1!!!GCF_011765335.1_ASM1176533v1!!!NZ_JAASAN010000001.1!!!449852-478652	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_011765335.1	Yersinia massiliensis	Yersinia	 Adhesive pili of the chaperone-usher family	60.9	0.9156	0.9588	1.0
VFG048267(gb|WP_015875145)	AF-A0A828S5J4-F1-model_v4	WP_001195159.1!!!GCF_003030245.1_ASM303024v1!!!NZ_CP028192.1!!!3008203-3031749	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_003030245.1	Escherichia coli	Escherichia	 Adhesive pili of the chaperone-usher family	60.1	0.9113	0.9332	1.0
VFG048267(gb|WP_015875145)	AF-A0A6G6AJG6-F1-model_v4	WP_032214677.1!!!GCF_000713095.1_ASM71309v1!!!NZ_JORH01000195.1!!!1-16344	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_000713095.1	Escherichia coli	Escherichia	 Adhesive pili of the chaperone-usher family	53.7	0.9501	0.9214	0.95
VFG048267(gb|WP_015875145)	AF-A0A5U3E7N8-F1-model_v4	WP_023262332.1!!!GCF_002045305.1_ASM204530v1!!!NZ_MYZK01000002.1!!!211437-240170	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_002045305.1	Salmonella enterica	Salmonella	 Adhesive pili of the chaperone-usher family	48.6	0.9074	0.8878	0.934
VFG048267(gb|WP_015875145)	AF-D2ZGA7-F1-model_v4	WP_282484264.1!!!GCF_029967835.1_ASM2996783v1!!!NZ_JASCAM010000021.1!!!7996-35825	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_029967835.1	Enterobacter cancerogenus	Enterobacter	 Adhesive pili of the chaperone-usher family	49.3	0.9069	0.8546	0.929
VFG048267(gb|WP_015875145)	AF-C0B2J1-F1-model_v4	WP_006536456.1!!!GCF_031870635.1_ASM3187063v1!!!NZ_JAPGQK010000005.1!!!177446-207078	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_031870635.1	Proteus penneri	Proteus	 Adhesive pili of the chaperone-usher family	42.4	0.9018	0.8675	0.929
VFG048267(gb|WP_015875145)	AF-A0A0P8N3T6-F1-model_v4	WP_047027485.1!!!GCF_023913395.1_ASM2391339v1!!!NZ_JAIOHD010000020.1!!!33388-60185	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_023913395.1	Enterobacter kobei	Enterobacter	 Adhesive pili of the chaperone-usher family	45.0	0.905	0.8226	0.909
VFG048267(gb|WP_015875145)	AF-A0A5Y3UVS3-F1-model_v4	WP_058114982.1!!!GCF_001448865.1_ASM144886v1!!!NZ_LHTH01000009.1!!!47554-76364	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_001448865.1	Salmonella enterica	Salmonella	 Adhesive pili of the chaperone-usher family	42.1	0.9081	0.809	0.909
VFG048267(gb|WP_015875145)	AF-A0A7X5H2C5-F1-model_v4	WP_341498863.1!!!GCF_038085095.1_ASM3808509v1!!!NZ_JAZGJN010000260.1!!!26083-43907	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_038085095.1	Photorhabdus aballayi	Photorhabdus	 Adhesive pili of the chaperone-usher family	36.5	0.9394	0.8271	0.938
VFG048267(gb|WP_015875145)	AF-A0A181X5M1-F1-model_v4	WP_004101093.1!!!GCF_020116615.1_ASM2011661v1!!!NZ_VNUT01000016.1!!!98016-84659	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_020116615.1	Klebsiella oxytoca	Klebsiella	 Adhesive pili of the chaperone-usher family	42.3	0.9083	0.8042	0.905
VFG048267(gb|WP_015875145)	AF-A0A3Q9L1K0-F1-model_v4	WP_000675776.1!!!GCF_046567865.1_ASM4656786v1!!!NZ_JBKFPR010000073.1!!!321-4019	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_046567865.1	Salmonella enterica	Salmonella	 Adhesive pili of the chaperone-usher family	30.2	0.901	0.806	0.917
VFG048267(gb|WP_015875145)	AF-A0A660FUG7-F1-model_v4	WP_049112912.1!!!GCF_902158725.1_SB6412!!!NZ_CABGHC010000021.1!!!227034-255030	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_902158725.1	Klebsiella grimontii	Klebsiella	 Adhesive pili of the chaperone-usher family	31.1	0.9044	0.8032	0.934
VFG048267(gb|WP_015875145)	AF-A0A2H4W433-F1-model_v4	WP_048351501.1!!!GCF_001043005.1_G8688!!!NZ_JYKZ01000002.1!!!9581-39819	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_001043005.1	Pseudomonas psychrophila	Pseudomonas	 Adhesive pili of the chaperone-usher family	34.6	0.9075	0.8193	0.938
VFG048267(gb|WP_015875145)	AF-A0A5H7LJC6-F1-model_v4	WP_000871808.1!!!GCF_000806945.1_CFSAN024767_02.0!!!NZ_JWQM01000011.1!!!76722-104950	Adherence	VF0566	Adherence	Fimbrial adhesin	GCF_000806945.1	Salmonella enterica	Salmonella	 Adhesive pili of the chaperone-usher family	26.8	0.911	0.7883	0.913
VFG045552(gb|WP_010947702)	AF-A0A128T1P7-F1-model_v4	WP_080449272.1!!!GCF_001590615.2_ASM159061v2!!!NZ_CP014255.2!!!2215101-2247359	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_001590615.2	Legionella pneumophila	Legionella	 T4SS effectors	85.3	0.9362	0.9307	0.986
VFG045550(gb|WP_010947675)	AF-A0A2S6EXN5-F1-model_v4	WP_027229160.1!!!GCF_003003755.1_ASM300375v1!!!NZ_CP021265.1!!!2184219-2214908	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_003003755.1	Legionella pneumophila	Legionella	 T4SS effectors	87.9	0.9496	0.8943	1.0
VFG045550(gb|WP_010947675)	AF-A0A127V3Y9-F1-model_v4	WP_027222137.1!!!GCF_900475745.1_45532_D01!!!NZ_LS483412.1!!!2204092-2234234	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900475745.1	Legionella pneumophila	Legionella	 T4SS effectors	84.0	0.9088	0.8865	0.974
VFG000996(gb|NP_858270)	AF-A0A2S8DLZ0-F1-model_v4	WP_010921669.1!!!GCF_020807445.1_ASM2080744v1!!!NZ_JAJHCS010000038.1!!!19205-6439	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_020807445.1	Shigella flexneri	Shigella	 T3SS components	91.5	0.9897	0.9856	1.0
VFG000996(gb|NP_858270)	AF-A0A829QSK2-F1-model_v4	WP_036978978.1!!!GCF_000527255.1_PalPAL2v1.0!!!NZ_JAKZ01000050.1!!!3654-15375	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_000527255.1	Providencia alcalifaciens	Providencia	 T3SS components	63.4	0.9053	0.919	0.964
VFG000996(gb|NP_858270)	AF-A0A5U9T0G1-F1-model_v4	WP_001179682.1!!!GCF_028525625.1_ASM2852562v1!!!NZ_JAOQEH010000018.1!!!84100-102482	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_028525625.1	Escherichia coli	Escherichia	 T3SS components	59.7	0.9021	0.9089	0.94
VFG000996(gb|NP_858270)	AF-D4HX33-F1-model_v4	WP_004155857.1!!!GCF_012371765.1_ASM1237176v1!!!NZ_JAAEWP010000019.1!!!106926-93132	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_012371765.1	Erwinia amylovora	Erwinia	 T3SS components	50.0	0.9068	0.9621	0.988
VFG000996(gb|NP_858270)	AF-A0A5P0JE49-F1-model_v4	WP_000796272.1!!!GCF_017165115.1_ASM1716511v1!!!NZ_CP062739.1!!!1006232-995474	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_017165115.1	Escherichia coli	Escherichia	 T3SS components	53.0	0.9037	0.9254	1.0
VFG000996(gb|NP_858270)	AF-A0A3G8CAA2-F1-model_v4	WP_124406855.1!!!GCF_003852235.1_ASM385223v1!!!NZ_CP027732.1!!!2254627-2281102	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_003852235.1	Pseudomonas orientalis	Pseudomonas	 T3SS components	54.8	0.9101	0.9467	0.988
VFG000996(gb|NP_858270)	AF-D2TC84-F1-model_v4	WP_014539007.1!!!GCF_020428355.1_ASM2042835v1!!!NZ_VOIC01000002.1!!!990591-978270	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_020428355.1	Erwinia pyrifoliae	Erwinia	 T3SS components	46.9	0.9204	0.9549	1.0
VFG000996(gb|NP_858270)	AF-A0A481QFA3-F1-model_v4	WP_025377505.1!!!GCF_000597945.1_ASM59794v2!!!NZ_CP007448.1!!!1360956-1373772	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_000597945.1	Yersinia hibernica	Yersinia	 T3SS components	47.5	0.917	0.9626	0.988
VFG000996(gb|NP_858270)	AF-A0A1H6V8Q9-F1-model_v4	WP_072340799.1!!!GCF_900119205.1_IMG-taxon_2599185306_annotated_assembly!!!NZ_FPIX01000003.1!!!217535-232516	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_900119205.1	Pseudomonas brassicacearum	Pseudomonas	 T3SS components	45.7	0.9102	0.9432	1.0
VFG000996(gb|NP_858270)	AF-A0A014MES2-F1-model_v4	WP_261641800.1!!!GCF_025388825.1_ASM2538882v1!!!NZ_VFIJ01000006.1!!!10735-38914	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_025388825.1	Erwinia mallotivora	Erwinia	 T3SS components	47.6	0.9016	0.9218	0.988
VFG000996(gb|NP_858270)	AF-A0A560RL98-F1-model_v4	WP_084318680.1!!!GCF_900106025.1_IMG-taxon_2636416188_annotated_assembly!!!NZ_FNTY01000002.1!!!1286061-1315902	Type III secretion system (T3SS)	VF0118	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_900106025.1	Pseudomonas migulae	Pseudomonas	 T3SS components	42.1	0.9139	0.9402	1.0
VFG000521(gb|NP_460386)	AF-A0A3G5ISQ4-F1-model_v4	WP_002209052.1!!!GCF_017498855.1_ASM1749885v1!!!NZ_WGGI01000064.1!!!11770-26520	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_017498855.1	Yersinia pseudotuberculosis	Yersinia	 T3SS components	47.4	0.9494	0.854	0.985
VFG000521(gb|NP_460386)	AF-A0A344SHZ9-F1-model_v4	WP_230389220.1!!!GCF_003325215.1_ASM332521v1!!!NZ_CP030219.1!!!4200005-4213372	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_003325215.1	Salmonella enterica	Salmonella	 T3SS components	41.8	0.9532	0.8422	0.946
VFG000521(gb|NP_460386)	AF-A0A7U2W9M6-F1-model_v4	WP_001002835.1!!!GCF_900149915.1_EPEC-E2348_69-V2!!!NZ_LT827011.1!!!4014495-4026950	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_900149915.1	Escherichia coli	Escherichia	 T3SS components	33.0	0.9581	0.8308	0.946
VFG000521(gb|NP_460386)	AF-A0A737Y781-F1-model_v4	WP_000997861.1!!!GCF_002036085.1_ASM203608v1!!!NZ_MXPI01000010.1!!!219810-233782	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002036085.1	Salmonella enterica	Salmonella	 T3SS components	35.2	0.9272	0.8108	0.973
VFG000521(gb|NP_460386)	AF-K1KA80-F1-model_v4	WP_043123832.1!!!GCF_046642625.1_ASM4664262v1!!!NZ_JBKAUL010000002.1!!!701569-715476	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_046642625.1	Aeromonas hydrophila	Aeromonas	 T3SS components	31.6	0.9366	0.8235	0.961
VFG000521(gb|NP_460386)	AF-A0A0H4A1F8-F1-model_v4	WP_331444679.1!!!GCF_036533895.1_ASM3653389v1!!!NZ_JATABM010000125.1!!!1-14293	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_036533895.1	Vibrio campbellii	Vibrio	 T3SS components	32.2	0.9397	0.8237	0.973
VFG000521(gb|NP_460386)	AF-E7PND9-F1-model_v4	WP_004886398.1!!!GCF_900585425.1_p22.D3!!!NZ_UTTL01000137.1!!!1-6819	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_900585425.1	Pseudomonas viridiflava	Pseudomonas	 T3SS components	24.7	0.91	0.7669	0.977
VFG000521(gb|NP_460386)	AF-A4XNA6-F1-model_v4	WP_003242017.1!!!GCF_002803095.1_ASM280309v1!!!NZ_PGLR01000001.1!!!53666-82753	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002803095.1	Ectopseudomonas chengduensis	Ectopseudomonas	 T3SS components	28.4	0.9288	0.7767	1.0
VFG000521(gb|NP_460386)	AF-A0A0X1T7T2-F1-model_v4	WP_177118453.1!!!GCF_013386645.1_ASM1338664v1!!!NZ_JACARJ010000032.1!!!1-17450	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_013386645.1	Pseudomonas gingeri	Pseudomonas	 T3SS components	25.7	0.9128	0.7417	0.931
VFG000521(gb|NP_460386)	AF-A0A7U9JJ16-F1-model_v4	WP_006766944.1!!!GCF_003057815.1_ASM305781v1!!!NZ_QBJZ01000057.1!!!40272-69725	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_003057815.1	Burkholderia dolosa	Burkholderia	 T3SS components	25.3	0.9204	0.7417	0.931
VFG000521(gb|NP_460386)	AF-A0A1H3BRK4-F1-model_v4	WP_017137656.1!!!GCF_014268205.2_ASM1426820v2!!!NZ_CP077082.1!!!1072401-1061093	Type III secretion system (T3SS)	VF0321	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_014268205.2	Pseudomonas edaphica	Pseudomonas	 T3SS components	19.6	0.9124	0.7446	0.977
VFG045548(gb|WP_010947624)	AF-A0A0W1AMA9-F1-model_v4	WP_065235639.1!!!GCF_900640055.1_Leg_waltersii_2074-AUS-E.v1!!!NZ_CAAAIQ010000027.1!!!13538-44364	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900640055.1	Legionella waltersii	Legionella	 T4SS effectors	55.7	0.9066	0.8867	0.982
VFG045548(gb|WP_010947624)	AF-A0A2Z3KPA7-F1-model_v4	WP_412758218.1!!!GCF_964277535.1_Lbozemanii_LeCo_16!!!NZ_CAXYJB010000022.1!!!6641-36038	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_964277535.1	Legionella bozemanae	Legionella	 T4SS effectors	52.1	0.9319	0.8751	0.982
VFG045548(gb|WP_010947624)	AF-A0A0W0S9C8-F1-model_v4	WP_265704361.1!!!GCF_026191355.1_ASM2619135v1!!!NZ_JAPHOQ010000012.1!!!39-27591	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_026191355.1	Legionella cherrii	Legionella	 T4SS effectors	50.5	0.9188	0.8817	0.983
VFG045548(gb|WP_010947624)	AF-A0A0W0YGZ6-F1-model_v4	WP_058513128.1!!!GCF_900639975.1_Leg_santicrucis_SC-63-C7.v1!!!NZ_CAAAIH010000020.1!!!50968-77314	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900639975.1	Legionella santicrucis	Legionella	 T4SS effectors	51.0	0.9306	0.8746	0.985
VFG045548(gb|WP_010947624)	AF-A0A378JDE1-F1-model_v4	WP_058499614.1!!!GCF_900452545.1_53550_A01!!!NZ_UGOB01000001.1!!!2472621-2503595	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900452545.1	Legionella gratiana	Legionella	 T4SS effectors	51.4	0.9309	0.8724	0.992
VFG045548(gb|WP_010947624)	AF-A0A317U2J4-F1-model_v4	WP_265656768.1!!!GCF_026190835.1_ASM2619083v1!!!NZ_JAPHPA010000001.1!!!968432-997275	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_026190835.1	Fluoribacter gormanii	Fluoribacter	 T4SS effectors	50.7	0.9292	0.8659	0.983
VFG045548(gb|WP_010947624)	AF-A0A378LS87-F1-model_v4	WP_031565247.1!!!GCF_900452925.1_42650_E02!!!NZ_UGPB01000001.1!!!2024860-2056065	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900452925.1	Legionella wadsworthii	Legionella	 T4SS effectors	50.6	0.9211	0.8667	0.987
VFG045548(gb|WP_010947624)	AF-A0A378L9W2-F1-model_v4	WP_058477339.1!!!GCF_965135705.1_CIP103851T!!!NZ_CBCRVJ010000060.1!!!241-15679	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_965135705.1	Legionella steigerwaltii	Legionella	 T4SS effectors	49.3	0.934	0.8716	0.993
VFG045548(gb|WP_010947624)	AF-A0A0W0ZFG6-F1-model_v4	WP_273200021.1!!!GCF_017306685.1_ASM1730668v1!!!NZ_JAFKHW010000022.1!!!59563-89426	Type IV secretion system (T4SS)	VF0798	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_017306685.1	Legionella steelei	Legionella	 T4SS effectors	50.4	0.9171	0.8661	0.985
VFG000828(gb|WP_000780681)	AF-A0A1S9J6J1-F1-model_v4	WP_000780683.1!!!GCF_002797075.1_ASM279707v1!!!NZ_PELA01000035.1!!!16742-30066	Type III secretion system (T3SS)	VF0191	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002797075.1	Escherichia coli	Escherichia	 T3SS components	99.5	0.932	0.9772	0.995
VFG000828(gb|WP_000780681)	AF-Q7DB55-F1-model_v4	WP_000780681.1!!!GCF_000303335.2_ASM30333v2!!!NZ_JH947099.1!!!29499-18543	Type III secretion system (T3SS)	VF0191	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_000303335.2	Escherichia coli	Escherichia	 T3SS components	100.0	0.9628	0.9805	0.935
VFG000828(gb|WP_000780681)	AF-A0A828R4L8-F1-model_v4	WP_000780741.1!!!GCF_001283485.1_7790_1_83!!!NZ_CYCX01000004.1!!!131644-120552	Type III secretion system (T3SS)	VF0191	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_001283485.1	Escherichia coli	Escherichia	 T3SS components	78.3	0.9349	0.9801	1.0
VFG038429(gb|WP_016352167)	AF-A0A2N3IPD5-F1-model_v4	WP_201975720.1!!!GCF_016729665.1_ASM1672966v1!!!NZ_JAEHHP010000006.1!!!90280-119134	Adherence	VF0475	Adherence	Fimbrial adhesin	GCF_016729665.1	Aeromonas hydrophila	Aeromonas	 Type IVa pili (T4aP)	91.4	0.9674	0.9266	1.0
VFG038429(gb|WP_016352167)	AF-A0A2S3XJ70-F1-model_v4	WP_082182205.1!!!GCF_040907945.1_ASM4090794v1!!!NZ_JBFOCU010000004.1!!!81643-109322	Adherence	VF0475	Adherence	Fimbrial adhesin	GCF_040907945.1	Aeromonas veronii	Aeromonas	 Type IVa pili (T4aP)	60.4	0.9274	0.8804	1.0
